# hanzi	pinyin
地	de5
把	ba4
长	chang2
难	nan4
率	shuai4
勒	le4
差	cha1
子	zi3
耶	ye1
尽	jin4
倒	dao3
丽	li2
佛	fo2
载	zai3
幢	zhuang4
背	bei1
划	hua2
担	dan4
咱	za2
弹	tan2
甚	shen4
薄	bao2
撒	sa3
斗	dou3
钻	zuan4
挣	zheng4
似	si4
沈	shen3
夹	jia2
档	dang3
拚	pin1
脏	zang1
识	shi2
仔	zai3
晃	huang4
缝	feng2
削	xiao1
掺	chan1
杠	gang4
揣	chuai3
漂	piao1
殷	yin3
楞	leng4
陂	po1
不是	bu2 shi5
起来	qi3 lai5
出来	chu1 lai2
东西	dong1 xi5
地方	di4 fang1
告诉	gao4 su4
当时	dang1 shi2
女人	nü3 ren2
过去	guo4 qu4
结果	jie1 guo3
多少	duo1 shao3
过来	guo4 lai2
故事	gu4 shi4
精神	jing1 shen2
人家	ren2 jia1
不了	bu4 liao3
当年	dang1 nian2
妻子	qi1 zi3
说道	shuo1 dao4
便宜	pian2 yi5
重点	zhong4 dian3
土地	tu3 di4
高中	gao1 zhong1
说法	shuo1 fa3
生意	sheng1 yi4
老公	lao3 gong1
尽量	jin3 liang4
得了	de2 le5
当天	dang1 tian1
小子	xiao3 zi5
好处	hao3 chu5
好吃	hao3 chi1
分子	fen1 zi3
为人	wei2 ren2
同行	tong2 hang2
老子	lao3 zi5
好玩	hao3 wan2
大都	da4 dou1
正当	zheng4 dang1
所长	suo3 zhang3
言语	yan2 yu3
本事	ben3 shi4
孙子	sun1 zi5
恶心	e3 xin1
重重	chong2 chong2
跟前	gen1 qian2
琢磨	zhuo2 mo2
乖乖	guai1 guai1
大方	da4 fang1
个头	ge4 tou2
温和	wen1 he2
狮子	shi1 zi5
当晚	dang1 wan3
教会	jiao1 hui4
开通	kai1 tong1
看好	kan4 hao3
大爷	da4 ye2
工夫	gong1 fu1
口音	kou3 yin1
当日	dang1 ri4
大王	da4 wang2
得罪	de2 zui4
转动	zhuan3 dong4
结实	jie1 shi2
转头	zhuan3 tou2
空地	kong1 di4
款式	kuan3 shi4
扎实	zha1 shi5
下场	xia4 chang5
公道	gong1 dao4
明朝	ming2 chao2
澄清	cheng2 qing1
分量	fen4 liang5
小儿	xiao3 er2
上头	shang4 tou2
本色	ben3 se4
单子	dan1 zi5
下水	xia4 shui3
冷战	leng3 zhan4
端详	duan1 xiang2
丁丁	ding1 ding1
