# hanzi	pinyin
的	de5
和	he2
了	le5
为	wei4
将	jiang1
说	shuo1
与	yu3
上	shang4
大	da4
要	yao4
地	de5
据	ju4
着	zhe5
种	zhong3
把	ba4
比	bi3
好	hao3
同	tong2
分	fen1
更	geng4
会	hui4
可	ke3
几	ji3
给	gei3
场	chang3
占	zhan4
得	de2
长	chang2
作	zuo4
阿	a1
号	hao4
只	zhi3
看	kan4
正	zheng4
强	qiang2
间	jian1
卡	ka3
当	dang1
打	da3
底	di3
夫	fu1
称	cheng1
便	bian4
头	tou2
那	na4
少	shao3
难	nan4
发	fa1
令	ling4
重	zhong4
创	chuang4
没	mei2
率	shuai4
奇	qi2
塞	sai1
华	hua2
勒	le4
度	du4
差	cha1
边	bian1
化	hua4
通	tong1
合	he2
跑	pao3
菲	fei1
见	jian4
降	jiang4
子	zi3
扎	zha1
草	cao3
远	yuan3
供	gong1
耶	ye1
什	shen2
朝	chao2
假	jia3
听	ting1
尽	jin4
呢	ne5
藏	cang2
转	zhuan3
蒙	meng2
价	jia4
板	ban3
调	diao4
压	ya1
宁	ning2
句	ju4
抢	qiang3
足	zu2
空	kong1
论	lun4
卷	juan3
吗	ma5
传	chuan2
般	ban1
雨	yu3
追	zhui1
脚	jiao3
校	xiao4
圈	quan1
娜	na4
落	luo4
倒	dao3
伯	bo2
结	jie2
冲	chong1
待	dai4
鸟	niao3
采	cai3
读	du2
哪	na3
杆	gan1
丽	li2
氏	shi4
堡	bao3
色	se4
畜	chu4
铺	pu4
佛	fo2
炸	zha4
免	mian3
答	da2
骑	qi2
载	zai3
喝	he1
幢	zhuang4
背	bei1
页	ye4
奔	ben1
症	zheng4
横	heng2
食	shi2
尾	wei3
稍	shao1
术	shu4
语	yu3
累	lei4
趟	tang4
亲	qin1
划	hua2
涌	yong3
散	san4
担	dan4
赚	zhuan4
服	fu2
操	cao1
解	jie3
咱	za2
岭	ling3
鲜	xian1
弹	tan2
涨	zhang3
甚	shen4
薄	bao2
撒	sa3
斗	dou3
禁	jin4
泥	ni2
挑	tiao1
埋	mai2
钻	zuan4
折	zhe2
监	jian1
挣	zheng4
挡	dang3
摸	mo1
炮	pao4
参	can1
辟	pi4
似	si4
屯	tun2
虾	xia1
弄	nong4
秘	mi4
喷	pen1
荷	he2
泡	pao4
浅	qian3
否	fou3
混	hun4
匹	pi3
磨	mo2
沈	shen3
模	mo2
夹	jia2
踏	ta4
渐	jian4
尺	chi3
扛	kang2
喂	wei4
浆	jiang1
轴	zhou2
谜	mi2
档	dang3
拚	pin1
脏	zang1
歪	wai1
莎	sha1
扫	sao3
沉	chen2
识	shi2
侧	ce4
仔	zai3
恶	e4
晃	huang4
尿	niao4
臭	chou4
饮	yin3
柜	gui4
脉	mai4
芯	xin1
凉	liang2
妻	qi1
挨	ai1
缝	feng2
腊	la4
刹	sha1
罢	ba4
宿	su4
刷	shua1
俊	jun4
膏	gao1
抹	mo3
削	xiao1
唯	wei2
咋	za3
旋	xuan2
钉	ding1
拾	shi2
澄	cheng2
掺	chan1
桔	ju2
杠	gang4
锯	ju4
厕	ce4
匾	bian3
揣	chuai3
弟	di4
笼	long2
衰	shuai1
胖	pang4
汞	gong3
漂	piao1
殷	yin3
劈	pi1
驮	tuo2
刨	pao2
粥	zhou1
朴	pu3
估	gu1
熬	ao2
隐	yin3
卒	zu2
么	me5
叉	cha1
舌	she2
攒	zan3
楞	leng4
雀	que4
荡	dang4
淋	lin2
缉	ji1
凹	ao1
